tweet,labels
@DCBronco @Quicktake @Rudnit How many times do you have to be told? How many Western European’s are going to roll up their sleeves for Putin’s vaccine just so he can cash in. F&&k the Sputnik vaccine.,pharma
"@QAnon_Report I already wear eyeglasses.....I hate the mask, and it's BS. I'm not getting vaccinated, and I'm NOT getting the mark of the Beast. PERIOD",none
"Russian roulette has an 83.3333% chance of survival, so why do we need a vaccine for it??? #WearAMask",unnecessary
"They prefer the China-made vaccine that has issues on its efficacy and isn't even approved yet. also, you can clearl see how it's more expensive compared to the pfizer one (that got's FDA'S EUA). siyempre tuta ng tsina https://t.co/Pte2U0oZnt",ineffective
@AFCLDN12 @peejay960 @bellasorella122 @niklitwinenko @piersmorgan @BorisJohnson Not denying covid but if infections soar every time we come out of lock down we have to find another way. Was told a vaccine was the answer. We've got 2 and we're in a worst position now.,ineffective
@MalcolmOutLoud @cov19treatments @DrLee4America @DrMartyFox @SKYRIDER4538 @michaelbeatty3 @hojoismyname @wthompson4368 @_SallyFernandez @MaryUlinger I appreciate their info. A big concern of mine is vaccines. Also the fact thst CDC will be issuing a COVID card to all who receive the shot r as ises even more issues. Can't wait to hear the show.,mandatory
@afneil Why are they so desperate to get hold of a vaccine they think doesn't work? 🤷‍♂️🤦‍♂️,ineffective
"@NHSEngland Everyone does realise the Pfizer Vaccine trials were due to continue until 2023 ,so effectively these people taking the Vaccine are still technically Lab Guinea Pigs.",rushed
@chicagotribune @COVIDOversight This is fine. Americans don't want them. Less than 10 million vaccines administered in the US are Johnson and Johnson. Americans aren't stupid and don't want vaccines that are not effective or safe.,ineffective side-effect
"@DavidHerdson @AlastairMeeks and I expect the Oxford vaccine will not work well as a 2nd boaster. Hence I see the Oxford vaccine as letting as win ""round one"" with Covid19, but maybe needing other vaccines for ""round two"".",ineffective
@canadiangirls99 @freedom247baby Reality is this isn't a cure all it stops is you dying from the worst case senario....you will still get the virus and can still transmit it....but the 95% will make Pfizer fucking rich.........whilst your body 99.8% survival rate.,ineffective
"@BettyBlazexxx I know. But is another instance in which the vaccine was/could be linked to death, so thought I'd show it as well here.",side-effect
"Sweden Indefinitely Suspends The Moderna Vaccine -- Following Finland, Iceland, Denmark & Norway Why is Canada NOT FOLLOWING ALARMING RATES OF MYOCARDITIS @CPHO_Canada @drkieranmoore #onpoli @fordnation @JohnTory #VaxToTheMax #VaxToSchool #GetVaxxed https://t.co/R66dXQyOOV",side-effect
@aristidexo haha this is why I have absolutely 0 faith that I'll be vaccinated this year,none
@duty2warn BFD!!! Who give a f#*k if he gets vaccinated? He's only pulling this stunt to sell his Sputnik Vaccine to the poorer nations 🤬🤬🤬,pharma
@BBCNews when will you be reporting on people becoming seriously ill from the covid vaccine? Because it is happening.,side-effect
"What investigation -- so you can say the vaccine didn't do it? Tim Zook, a resident of Orange who worked at an acute care medical center, had a reaction within hours of his second Pfizer-BioNTech shot. He spiraled downward and died four days later. https://t.co/JUKOCrKOTb https://t.co/EQoVPm8sgg",side-effect
"@catinthecradle @SueScoby I’m not anti vax, but I’m definitely not going to be taking one of the 100 Million doses the US just purchased from Moderna (or ANY vaccine rushed to market before Nov): https://t.co/4TWVKy4FAE",rushed
@SunflowerSoul71 @POTUS I just read NYT that brought up another salient point. As more adults get the vaccine the virus will have no choice but to mutate in children creating the possibility for a variant that causes severe disease in children. Scary.,side-effect
@WHO @pfizer @BioNTech_Group If they WERE safe and effective you wouldn't always have to preface the word vaccine with safe and effective. That's a conditioning technique.,side-effect ineffective
👀 “People are free to take the vaccine but vaccines should never become a condition for life”.,ineffective
@ethxnmufc @P10Rhys Both UK and US results have not been looking good. Moderna showed serious adverse event from within 43 days of receiving the jab! https://t.co/MoRHg5jeY5 https://t.co/mXsutNhLqL,side-effect
"@jamesgraham521 @bodhibrian Yes, I know but it seems the UK have skipped some of these provisions especially for CoVid 19 trials. They have skipped the testing on animal part, went straight for the human being. That’s why I’m against the vaccine trials #HumanGuineaPigs",rushed
"Health authorities in Denmark, Norway and Iceland on Thursday suspended the use of AstraZeneca's COVID-19 vaccine following reports of the formation of blood clots in some people who had been vaccinated.​ https://t.co/RIs9y6PpN7",side-effect
@LotionboyDFW @theblaze I'd honestly rather get a pentagram or 666 tattoo on me than carry around a vaccine passport that tracked me.,mandatory
"@nockjnr @MobilePunch @NaijaFlyingDr Why are we so willing to be lab rats? Why are we so ready to accept the Russian vaccine as safe when even the most optimistic projection is that the earliest we can have a vaccine is November? What is this sudden show of affection of ""with love from Russia?"".",rushed country
"@IoanAnthony @AS332L @Effiedeans The vaccine from Pfizer is delivered in a different way to other vaccines, that’s a cause for concern too. At the end of the day it should always be an individual’s choice and never be forced on anyone by any means.",mandatory
Italy has banned the AstraZeneca vaccine in under-60s after the death of an 18-year-old. Thanks @DaveKeatley https://t.co/qTXO6g68mC https://t.co/GmpGxHzr8J https://t.co/emvTe0TrdE,side-effect
"@realDonaldTrump First vaccine is Russian. And your “vaccine” caused people blind. Be happy, nerd.",side-effect
Now people have valid reason to not trust corona vaccine after this mess. #VaccineforSouthAfrica #AstraZeneca,none
"Incidence of anaphylaxis in Moderna COVID vax recipients is 2.5 per million per CDC. I see no reason not to take a Benadryl before the jab, for most of us. Say 30-60' in advance or so.",side-effect
"@Jayemel68 Once these passports are deployed they are never going away. They are a gateway to digital identification. The ""way to open up society"" argument is how people are getting behind them, but it will only be open to those that agree to regular vaccination and these digital systems.",mandatory
"This is also nuts. People who had COVID need to be tested for antibodies. If they have them, they do NOT need the vaccine.",mandatory
@BiboyScum Sinovac is using an inactivated SARS-CoV-2 vaccine - not good news my friend. I would hate to think of the implications if the spike protein itself was the fundamental factor involved in these adverse events.,side-effect
"When will it be enough. I just watched a story where a Bill has been introduced to make you prove you have had a vaccine for the Covid, 1%death rate. Really",political
"I’m not anti-vaccine but when the people involved in creating a vaccine for Covid-19 are on the revord, advocating a massive reduction in the human population, that concerns me.",conspiracy
"There's also live-attenuated vaccines, which are similar. Personally, I'm waiting for either a non-mRNA vaccine to be widely available before I get my COVID shot. An mRNA vaccine is fine for my parents, but I'm concerned about unintended consequences 25 yrs down the road.",side-effect
I always fought this -few have spreaded lie about covid mortality as if all will die. THEY r funded by failed vaccine mafia @WhiteHouse @POTUS @realDonaldTrump @Interior @SenateCA @Europarl_EN @PMOIndia @narendramodi @HMOIndia @AmitShah Actual Covid Mortality <0.03% of population,conspiracy political
"@Jankowski60 @pfizer can say whatever they like and the mainstream media may well go along with it! However, their #Covid_19 vaccine (Comirnaty) remains an “investigational vaccine” @US_FDA, is still unapproved and unlicensed, as the Company’s website states.",rushed
"@ProfJSDavies You realise that Pfizer didn't even carry out sufficient trials right? They weren't due to be concluded until January 2023, so how comes they've seemingly cut corners?",rushed
"@clockendsniper @1davidmartin @SkyNewsBreak Because covid ain't real, children going missing (sex/human trafficking) is real. Average age of covid death's 82+. Average life expectancy in the UK 81. A vaccine that doesn't stop you from getting it or transmitting it. It's a hoax.",ineffective
"Not me! I'm not at all convinced about the efficacy and, above all, the safety of all these ""investigational vaccines"" @US_FDA, currently being TRIALLED worldwide. Moreover, the FDA approval of Pfizer's vaccine, Comirnaty, confirmed my doubts. https://t.co/IfQB3Z9GW3",ineffective side-effect rushed
@msxarron honestly it dont prevent u from getting it if u do get the flu shot y still get the flu but they claim once u get sick the antibodies from the vaccine is working,ineffective
"@AmandaBusick The great unknown, what long term effects could be associated with the vaccine as well. Not saying I’m against it, but what’s the unknown?",side-effect
@HausOfRae @Independent How do you know that in case of pfizer vaccine medium to long term risk of side effect is small? Smaller than potential risk from the varus itself? The answer is: you do not know. And there is no way you are able to know. Unless you have time machine which I doubt,side-effect
"@MichaelCoudrey ""Notable about the Fauci-Gates Moderna coronavirus vaccine, mRNA-1273, is that it has been rolled out in a matter of weeks, not years ..human guinea pigs, not mice"" 18.03.2020 (F. William Engdahl) Coronavirus and the Gates Foundation | New Eastern Outlook https://t.co/alHZ0Seazv",rushed
This is just to hide the inevitable side effects of the covid vaccine. Take note and don't be fooled. #QAnons #COVID #COVID19 #CoronavirusUSA  https://t.co/dvhOJF1uIQ,side-effect
"If this is what Pfizer call ""being honest & open"", I cant see *any* country giving a license to sell this vaccine, & its becoming apparent why they were so insistent on getting liability indemnity before producing it... It doesnt need to be like this. Publish the *full data*.",conspiracy
A dangerous experimental project tried out on the gullible. Pfizer Covid vaccine: Full list of side effects reported - ranging from mild to serious https://t.co/ZXF5qpgw84,side-effect
"You’re either a Pharma stooge or you’re someone who takes a lot of money from Pharma. I worked in Pharma. This is not how you do a clinical study design and Astra Zeneca should be ashamed of themselves but they know exactly what they are doing, trust me.",pharma
"Doctors have vowed to defy the Government’s new Pfizer vaccine strategy, warning they will not take part in such a “huge gamble.” https://t.co/rL3I1oSnel",political
"Victims of Vaccinology: A horrible death of a previously healthy 49-year-old health care worker after her 1st dose of AZ-Oxford DNA-virus vector vaccine. Possible malpractice: the patient received a platelet transfusion, which is not recommended. https://t.co/IRC0kMXYls https://t.co/1nGGsm4VqW",side-effect
"major vaccine makers (save Moderna) have paid out tens of billions of dollars in damages for other products they brought to market when they knew those products would cause injuries and death--see Vioxx, Bextra, Celebrex, Thalidomide and opioids as a few examples. -",side-effect
"Losing faith in the Oxford vaccine, if the creator thinks things like this then we're totally fucked. The virus is already showing signs of being much more severe than wild type, and vaccine evasion. https://t.co/zEL2R91yHB",ineffective
@HelenaHandcart0 @jonatho84952843 @Crescen21993055 She isn’t an anti vaxxer. Nor am I. We both have done tons of research and we do not want to take untested and unapproved vaccines that do not finish their clinical trials until 2023. Thousands and thousands are having very serious side effects,rushed side-effect
Please don't get the corona virus vaccine. Tainted bad. Tainted blood supply. Please listen to Thomas Paines  podcast below . It will open your eyes about this fake pandemic. Our government is covering up all of this. Trump doesn't know.  Why are there so many more cases of,conspiracy political
"As we all suspected: Boris and co are willing participants in this covid scam. They took the 30 pieces of silver, selling us out to the NWO great reset. The pandemic doesn't exist. We have been conned. So ditch your masks and say no to the vaccine.",unnecessary political
@GovernmentZA Don’t trust the media; Masks and social distancing are pointless; COVID-19 is about as serious as Influenza (which isn’t very serious); A COVID-19 vaccine isn’t necessary; Go back to living a normal life. Says a world renowned microbiologist. https://t.co/gaaH4ngkvu,unnecessary
@JackieParshall @CBSNews Losing argument? There have been no long term studies for this vaccine. Are you not paying attention to the result from the astra Zeneca vaccine so far ?,rushed
"@CTVToronto There is no hope for a vaccine.   Nothing coming now and it won't work if it does come.    It is Lockdowns Forever, or take your chances with Covid. Lockdowns are no life at all.   My choice it to take my chances.  Bring it on!",ineffective
@ScottMorrisonMP PM Scott Morrison MUST TELL AUSTRALIANS THAT AstraZeneca HAS BEEN EXEMPT FROM ALL LEGAL LIABILITY OF DAMAGES THEIR QUICK RUSH TO MARKET VACCINE WILL HAVE ON CITIZENS! He must be made FINANCIALLY RESPONSIBLE for adverse effects on his constituents!,rushed side-effect pharma
"@MarcusTriton @SteveZodiac6 It’s not an ‘inoculation’ is the issue. We were told the vaccine would be the answer to covid but now it appears it’s to lessen the severity of symptoms which since it’s a high survival rate, seems an odd thing to have unless you’re old? Vaccine, a misnomer?",unnecessary ineffective
"@NBCNightlyNews Big Pharma like Moderna should testify what is their plans who is controlling doctors’ opinions? Investors and big Pharma and bio tech stock market are the ones who wants us to be sick lifetime for market gain, this is all about the money. They gamble with American health.",pharma
"@Catchthewind7 @DrSmartbat The vaccine only protects you & no one else - it reduces your symptoms, THAT’S IT! If asymptomatic spread is actually real you would be at a higher risk surrounded by vaccinated people, as they are more likely to carry it without showing symptoms.",side-effect
I trust this new covid vaccine about as much as I trust anything the media tries pushing on us this hard.  Watch Dem governors start unconstitutionally demanding it necessary to take this “vaccine” to go back to work or go anywhere in public.,political
@JasonGroves1 @PippaCrerar @BBCWorldatOne If that's the case then the vaccine needs amended (quick fix) as opposed to the vaccine needing created (long term fix). It happens to the flu every year! Except flu vaccine has only 50% efficacy & everyone is ok with that. Covid-19 vaccine has 85%-90%. Freedom pending!!! Brill👏,ineffective
😱😱😱 In addition... Seven senior residents of a Montreal nursing home were found infected with Covid within 28 days after inoculation! Can someone pointed me to the trial 3 test data of Pfizer on seniors please. 🙏 @BogochIsaac https://t.co/0Nq4NiapYe,side-effect
"@EyesOnQ @MetroUK DeepState also going back to and pushing mandatoey vaccination for kids at State Gov level. Even though 1 - no outbreak of current vaccines, 2 - no vaccines for Covid-19, 3 - children don't get infected. Reconcile that shit",mandatory unnecessary
@realDonaldTrump No wants to take your poison from Pfizer who is the company that knowingly gave people cancer with Zantac without telling them,pharma
"@CBCNews this is a bio weapon, planned with a patented virus (pinbright corporation) and a vaccine that is already present to 'combat' it, but in actual fact will contain contaminants that will introduce cancer into people",side-effect
"@mike31568057 What ? Inovio was the first and the only one to have a coronavirus vaccine ( ino4700) . They were pushed to the side . Moderna needs -80 cooling . 100% side effects , protection lasting 3-4 months . Are you gonna take it ?",side-effect
@Pfizer_UK @BristolUni Its a pity that the vaccine after 57 days doubly vaccinated demonstrates via blood tests that there are no Covid antibodies within the person tested so you're on to a winner with this one - your profits will rocket.,pharma ineffective
"@RevNevLyth @richardosman #CampSticker ! (I didn't get a sticker, but can love without one, unlike the vaccine)",none
@rob_waudby @Pfizer_UK @BSFcharity I’m seeing lots of different skin reactions which may have been triggered by the covid vaccine. Pfizer have zero liability and impossible to prove - it’s a win/win for them! 😡,side-effect
@richardjsmith62 @flamingyam @PeteGodman @manlikeslatt @BorisJohnson I’d be putting my self more at risk of needing the nhs help if I had the vaccine. As I’m statistically at a lesser risk of covid than adverse reactions to the vaccine. So you point is null and void unfortunately.,side-effect
@pfizer congrats on your 90% effective vaccine. Only problem is that 99.6% of ppl getting Covid 19 survive without your vaccine... going to have to work on those metrics.,ineffective unnecessary
@brunoandmojo @NancyHaven I don't trust the Pfizer vaccine does this make me anti-vax? 🤔 It's about reading into the data which they've mostly failed to provide hence why other EU nations are asking to see it. They didn't even complete their trials!,rushed
"@NorbertElekes Norbert, I was waiting for you to post on/about covaxin .. the effectiveness is not anywhere near what other vaccines have.. i e > 90% (You may check it out, it's far less)",ineffective
"@ichaydon @statnews Hi guy. I am a vaccine injury mom. We are people who have investigated vaccine trials and found that reactions and even deaths are often hidden by vaccine makers, as they deny our children's injuries. So it is worrying that Moderna reported rosey results and hid yours.",side-effect pharma
"3/ The denominator is far lower than 215,000 (the numerator will have a lag too, but the other way). If the lag is one day, almost 4% of the first 88,000 recipients have had a serious adverse event - AFTER THE FIRST SHOT OF THE PFIZER VACCINE...",side-effect
"@danwootton @axios The government as you went in thinking the vaccine was tested completely but think about it seriously, has the government told the truth in anything. I wouldn't trust anything unless you see them go into rooms after having the needle with no protection with covid patients.",rushed political
"@ZagamaMas I would be wary of AstraZenica's ""Oxford"" trial. A 28 yr old physician volunteer participant in this trial just died in Brazil. They say he got the placebo not the vaccine, but still this isn't good news.",rushed
"#JonsonVaccine Johnson & Johnson is in the eye of storm in the US over rare autoimmune disorder. About 100 preliminary reports of Guillain-Barré syndrome (GBS) detected in US after vaccination with J&J shot, mostly men, many of whom were 50 or older."" https://t.co/TItSKn35aI",side-effect
"Lotsa fees. Where’s the advice? That’s why we’re in this mess. No vaccines or using vaccines unsafe, low efficacy vaccines on people the world has banned. #GetMoreModerna https://t.co/4uJfnFGwNM",ineffective side-effect
"Listening to why governments want to fast track vaccine trials for CoVid 19, lets take a look at the people involved with the fast tracking drug trials for HIV/AIDS. 3 people pushing to find a cure was Birx, Fauci & RedField   https://t.co/eNc8DgAZvc  https://t.co/mUaGs5YhZY",rushed
"@Dr_PhilippaW As you know Pfizer Biontech vaccine uses novel mRNA technology-we realistically do not know the long-term behaviour for how a delayed dose will work. Yet, the UK has decided to make that decision when the people who are now getting it - are the highest at risk in society.",ineffective
I will not get a covid vaccine idc if Donald trump says it’s the best thing in the world I will never wear a mask unless the business I attend won’t let me get in it’s called common sense try it sometime,none
Hardly reassuring news is it? Pfizer want the money but not the risk as their #covid19vaccine which has been indemnified by the Irish government @MichealMartinTD @LeoVaradkar https://t.co/X0FWft6A6h,side-effect
"@Sethrogen @lpky I can send you *dozens* of examples of people in positions of major influence (editors at nationally circulated papers or comparable), where they are recommending people who don't get a vaccine be locked in their house forever. They're already campaigning for concentration camps",mandatory
"@OANN @realDonaldTrump You mean @realDonaldTrump, the Johnson & Johnson that participated in the simulated Coronavirus event 201 on October, 18 2019? You have got to be kidding me....people are dying so some damn Pharma company can make a vaccine? It was planned. https://t.co/0seSnKeirV",pharma conspiracy
@zev_dr And the vaccines are likely to be very profitable too. In fact if #hydroxychloriquineworks then licences to rush out vaccines are likely to be reviewed and reversed see @drsimonegold tweets. Plus #AstraZeneca has sought and been granted immunity from side effects liability.,pharma rushed side-effect
"Talk about Hot Mess, first there is not enough data to know, second, people having reactions and now 5 minutes later, the amounts shipped are not correct and to whom did they go? Sounds like the vaccine drama is just as bad as the Covid Virus? A warp speed of BS!",side-effect
@CTVNews Intenially holding them hostage for a virus with a vaccine and 99 percent recovery rate. When y’all gonna learn. Oh wait in the gas chamber.,unnecessary conspiracy
"Anyone knows what was the adverse event in this adenovirus-vectored vaccine ? Was it myelitis again? The more we delay in knowing, more trials start - like the Russian vaccine in India (again adenovirus) https://t.co/B9U1qJLJxe",side-effect
"6 Participants Died During Pfizer #COVID19 #Vaccine Trials – FDA Document Reveals | Dec 9 - Pfizer trial participant; after the second shot, he woke up with chills, shaking so hard he cracked a tooth. - “It hurt to even just lay in my bed sheet,” he said. https://t.co/WVl575Ir1H https://t.co/y845SCbH7s",side-effect
"DON'T BE STUPID, YOU HAVE BEEN WARNED! A VERY MISERABLE COUNTRY AFTER ITS STUPID HUGE CCPVirus VACCINATION BET ON SCANDALIZED CCP SINOVAC SHOTS Chile shuts capital Santiago once more as Covid-19 vaccines fail to quell rampant cases https://t.co/I4tbERtB7n",ineffective pharma
"@VeniceLaura @jean_pjtwood @petertimmins3 MHRA had to even do the warnings about reactions from the Pfizer vaccine, which Pfizer never tested for. I'm going to stick with the MHRA on this one. lol",side-effect rushed
@MuellerSheWrote because they believe in the fantasy vaccine disease but they don't believe in Covid,side-effect
@ScottBSNRN You will too. I've never had a vaccine whoop the bejeezus outta me like the Pfizer covid one- I mean holy hell but it was short lived!,side-effect
"""Serious adverse event"" in AstraZeneca's COVID-19 vaccine trial revealed as spinal inflammation disorder caused by toxic adjuvants - https://t.co/8ttiFOGmOI https://t.co/aFYidbKHsv",side-effect ingredients
"@GerardBattenUK Be a guinea pig – NO. Quote 'It’s also true that mRNA vaccines are very novel, and if one were to be approved for human use for Covid-19, it would be the first of its kind'. Pfizer vaccine is mRNA and developed in less than 1 year compared to average 5 to 10 years.",rushed
"Coronavirus is certainly not novel since the virus is the 7th in the Coronavirus family mutating to the 8th. The British Crown has no plan to shut down instead of forcing vaccination to pursue the political hoax, financial heist, and a tactic to capitulate to jab in the flesh.",mandatory political
"@k_ra_mr @vivakermani Its 80,000 crores every year as you'll have to re vaccinate every year. And it presumes vaccines work, which is not obvious. I do appreciate the risk he took, said so when he jumped on Oxford vaccine, but we don't have to bail him out or give him free money",ineffective
"Oregon woman develops rare blood clot, dies after receiving Johnson & Johnson COVID-19 vaccine - KTVZ https://t.co/iwGCuPrr3V",side-effect
"@SimonHamilton @JimAllister WHY is ANYBODY listening to Ian Young ? He sits on the advisory board at AstraZeneca . Conflict of interest as they want to vaccinate EVERYONE. Also look at who owns AstraZeneca , good old kill Bill Gates. Time for him to go.",mandatory
"No need for vaccines, Covid effectively over: Ex-Pfizer VP While Pfizer had made headlines on the release of their Covid-19 vaccine, its former VP and Chief Scientist has said that there is no need for any vaccines to bring the pandemic to an end. https://t.co/3OIAjbXtst",unnecessary
"@moggymarcus @ankaimer @DHSCgovuk Can't put that down to vaccination. Vaccines don't prevent infection. Which is why infections, and ""deaths within 28 days of a positive test"" will not be reduced by it. So, a vaccine, but a neverending lockdown. Welcome to a country ruled by Sage communists.",ineffective
Brazil health authority: COVID vaccine trial volunteer has died https://t.co/8QfEsWeKJS DIED FROM the vaccine developed by AstraZeneca and Oxford U. but testing to continue. @DrOz @va_shiva @drdavidsamadi @MSF_USA @picphysicians @HHSRegion2 #firefauci,side-effect
STOP GETTING TESTED. NO MORE FALSE POSITIVES. NO MORE “DEATHS” AFTER 28 DAYS. NO MORE EMERGENCY. NO MORE VACCINE EUA. NO MORE VACCINATIONS. NO MORE “PANDEMIC”. ONLY WE CAN END THIS.,side-effect
@abmoser88 @root2702 @nytpolitics That notion is statistically insignificant to my age group and younger. COVID vaccine benefits if any are for the immuneo-compromised to whom prevention works more magic than any vaccine. I could be wrong & it's sad no health agency is producing reliable info free of 💵💵input,unnecessary
"Probe underway into #SouthKorea teenager's death #Pfizer #Covidvaccine #Pediatrics https://t.co/dQeuecmZeO ""a third-grade high schooler was inoculated with the Pfizer vaccine on Aug. 13 and died on September 27. The teenager had no underlying conditions.""",side-effect
"#YOU DO KNOW AMERICA THAT THERE IS A CURE FOR THIS BILL GATES, CHINA, VIRUS CALLED COVID-19?  YOU DON'T NEED THAT DISEASED RIDDLED VACCINE.",pharma side-effect
@mediaeasier @BreesAnna Many people here in India are getting Covid after vax. Two people I know died this week. One became ill right after his Covishield vaccination. Another was Covid+ despite vaccination. I include a big section about adverse reactions in this (massive) tome: https://t.co/1mLwc3s7Ao,side-effect
"@WSJ TO STAY SANE WITH VACCINE OR NOT ? Covid-19 vaccines | CDC / Side effects: More than 3,000 people can no longer carry out their normal daily activities after being vaccinated https://t.co/NA88EEC0wL",side-effect
"@Nuttymedium I had seen the video too, I am in 2 minds about the whole vaccine thing, would need to know lot about side effects before agreeing to have it",side-effect
"@njbirse @tonto_1964 @DrSuneilJain Its bizarre that people so quickly dismiss adverse reactions to vaccination, even when they occur right away. The same people would immediately accept the cause of a food allergy, for instance. How can you say that ""in the vast majority of cases"" they won't be due to the vaccine?",side-effect
